Movie_Name,Movie_rating,User_Score,Genre,ww_gross,d_gross,critic_rating1,user_rating1,critic_rating2,user_rating2,twitter_handles,followers_count
13 Hours: The Secret Soldiers of Benghazi ,48,6.8,"Action, Drama, Thriller, War",69411370,52853219,48,68,50,82,13hours,17147
The Girl on the Train ,48,6,"Drama, Mystery, Thriller",170327930,75395035,48,60,45,49,girlontrainfilm,6153
Morgan ,48,5.6,"Sci-Fi, Drama, Mystery, Thriller, Horror",7315248,3915251,48,56,38,30,Morgan,7371
Jack Reacher: Never Go Back ,47,5.6,"Action, Adventure, Drama, Mystery, Thriller, Crime ",160038407,58697076,47,56,38,42,JackReacher,24899
The Dressmaker ,47,6.7,Drama,24041617,2022115,47,67,54,66,DressmakerMovie,6204
I Saw the Light ,47,5,"Biography, Drama, Romance, Music, Musical",1767963,1646788,47,50,18,35,,0
Now You See Me 2 ,46,6.4,"Action, Adventure, Mystery, Thriller, Comedy, Crime",328675540,65075540,46,64,34,53,NYSMmovie,50540
Kill Your Friends ,45,5.8,"Thriller, Comedy, Crime ",420091,420091,45,58,25,31,KillFriendsFilm,530
Pride and Prejudice and Zombies ,45,5.6,"Action, Thriller, Horror, Comedy, Romance ",16311335,10907291,45,56,43,44,PPZmovie,4575
Miracles from Heaven ,44,5.8,Drama,73798720,61705123,44,58,43,81,MiraclesHeaven,8979
Batman v Superman: Dawn of Justice ,44,7,"Action, Adventure, Sci-Fi, Fantasy ",868160194,330360194,44,70,27,63,BatmanvSuperman,572525
American Pastoral ,43,5.8,"Drama, Crime",1715728,544098,43,58,22,29,AmPastoralMovie,772
Equals ,43,6.4,"Sci-Fi, Drama, Romance ",2134557,33258,43,64,35,41,EqualsTheMovie,4535
Office Christmas Party ,42,4.9,Comedy ,91342494,54767494,42,49,41,41,officexmasparty,5013
Inferno ,42,5.5,"Action, Adventure, Sci-Fi, Drama, Mystery, Thriller, Crime ",219572877,34355263,42,55,22,36,infernothemovie,9929
The Boy ,42,6.6,"Mystery, Thriller, Horror ",68220952,35819556,42,66,28,38,TheBoyMovie,23338
The Other Side of the Door ,41,4.7,Horror ,9787624,3000342,41,47,37,29,,0
