Movie_Name,Genre,critic rating1,user rating1,critic rating2, user rating2,ww gross,d gross,twitter handles
Inferno ,"Action, Adventure, Sci-Fi, Drama, Mystery, Thriller, Crime ",42,5.5,22,36,"21,95,72,877","3,43,55,263",infernothemovie
The Boy ,"Mystery, Thriller, Horror ",42,6.6,28,38,"6,82,20,952","3,58,19,556",TheBoyMovie
The Other Side of the Door ,Horror ,41,4.7,37,29,"97,87,624","30,00,342",
The Perfect Match ,"Comedy, Romance",41,5.1,27,44,"96,69,521","96,69,521",
Passengers ,"Adventure, Sci-Fi, Drama, Romance",41,6.7,30,63,"30,22,12,434","10,00,14,699",PassengersMovie
Suicide Squad ,"Action, Adventure, Sci-Fi, Thriller, Fantasy, Comedy, Crime",40,6.2,26,60,"74,61,00,054","32,51,00,054",SuicideSquadWB
Teenage Mutant Ninja Turtles: Out of the Shadows ,"Action, Adventure, Sci-Fi, Fantasy, Comedy",40,5.7,36,47,"24,56,23,848","8,20,51,601",TMNTMovie ‏
The Benefactor ,Drama ,40,5.1,25,23,"19,04,720",0,
Mechanic: Resurrection ,"Action, Thriller, Crime ",38,5.4,31,40,"11,03,12,958","2,12,18,403",TheMechanic
Ben-Hur ,"Action, Adventure, Drama, History ",38,5,25,53,"8,87,25,100","2,64,10,477",BenHurMovie
Cell ,"Sci-Fi, Thriller, Horror ",38,3.2,10,17,"7,35,841",0,
Criminal ,"Action, Sci-Fi, Drama, Mystery, Thriller, Crime",36,7.6,30,47,"3,87,71,262","1,47,08,696",
Assassin's Creed ,"Action, Adventure, Sci-Fi, Drama, History, Fantasy ",36,6.3,18,43,"24,04,97,948","5,46,47,948",AssassinsMovie‏
Solace ,"Drama, Mystery, Thriller, Crime ",36,5.6,25,44,"2,25,86,863",0,
The Huntsman: Winter's War ,"Action, Adventure, Drama, Fantasy",35,5.1,17,46,"16,51,49,302","4,80,03,015",TheHuntsman
Keeping Up with the Joneses ,"Action, Comedy",34,6,20,37,"2,88,04,426","1,49,04,426",
Alice Through the Looking Glass ,"Adventure, Fantasy, Family ",34,5.9,29,49,"27,74,42,381","7,70,42,381",
Zoolander 2 ,Comedy ,34,4.2,23,20,"5,53,48,693","2,88,48,693",ZoolanderMovie
The Divergent Series: Allegiant ,"Action, Adventure, Sci-Fi, Mystery, Thriller, Romance",33,4.1,12,42,"17,14,84,051","6,61,84,051",DivergentSeries
Ride Along 2 ,"Action, Comedy ",32,4.5,13,48,"12,48,27,316","9,08,62,685",RideAlong
Independence Day: Resurgence ,"Action, Adventure, Sci-Fi",32,4.5,31,30,"38,76,44,286","10,31,44,286",ID4Sequel ‏
Warcraft ,"Action, Adventure, Fantasy",32,8.2,28,77,"43,31,25,655","4,72,25,655",warcraftmovie
Fifty Shades of Black ,Comedy ,28,2,7,19,"2,07,65,353","1,16,86,940",FSOBMovie
Gods of Egypt ,"Action, Adventure, Fantasy",25,4.4,15,37,"13,35,53,464","3,11,53,464",GodsofEgypt
Collateral Beauty ,"Drama, Romance",23,6.2,14,64,"8,53,15,070","3,10,16,021",CBeautyMovie
Yoga Hosers ,"Thriller, Fantasy, Horror, Comedy ",23,4.7,19,34,2199,2199,
Nine Lives ,"Fantasy, Comedy, Family ",11,2.8,13,41,"4,42,23,197","1,97,00,032",ninelives
The Mermaid,"Sci-Fi, Drama, Fantasy, Romance",69,7.1,94,60,"55,21,98,479","32,29,457",
Lion,Drama,69,7.9,86,91,"14,75,28,731","5,17,28,731",LionMovie
Hidden Figures ,"Biography, Drama, History",74,7.4,93,93,"23,15,80,573","16,93,87,004",HiddenFigures
A Monster Calls,"Drama,Fantasy",76,7.8,86,81,"4,64,22,066","37,40,823",amonstercalls
